time,seconds_elapsed,z,y,x,gyro_x,gyro_y,gyro_z
2023-11-30 19:49:00.095112200,48.1581123046875,-1.279139518737793,-0.7023134231567383,0.713165283203125,-0.283975750207901,-0.117667831480503,0.1689804643392563
2023-11-30 19:49:00.113714200,48.17671411132813,-0.9271878004074096,-0.8955421447753906,0.1341495513916015,-0.2836703360080719,-0.1097265854477882,0.1680641770362854
2023-11-30 19:49:00.132316200,48.19531616210938,-0.6600040793418884,-1.1475706100463867,-0.4460923671722412,-0.2396880686283111,-0.0846811309456825,0.1537088453769683
2023-11-30 19:49:00.150918100,48.21391821289063,-0.8110044002532959,-1.3540887832641602,-1.0195775032043457,-0.2091448307037353,0.0194713156670331,0.1341611742973327
2023-11-30 19:49:00.169520000,48.23252001953125,-1.3486230373382568,-1.388650894165039,-1.346672296524048,-0.1947895139455795,0.1746309697628021,0.0697149410843849
2023-11-30 19:49:00.188122000,48.2511220703125,-1.8350781202316284,-1.3321542739868164,-0.9791584014892578,-0.1593593508005142,0.3908770978450775,0.0107664912939071
2023-11-30 19:49:00.206724000,48.26972412109375,-1.8251007795333865,-1.2830333709716797,-0.4768667221069336,-0.0741437152028083,0.669126033782959,0.0663551837205886
2023-11-30 19:49:00.225326000,48.288326171875,-0.6084861755371094,-1.6700143814086914,-0.7149486541748047,-0.0155006935819983,0.686535656452179,0.1979965418577194
2023-11-30 19:49:00.243928000,48.30692797851562,0.6814114451408386,-1.979097366333008,-1.3191649913787842,-0.0603992566466331,0.3026071488857269,0.1763108521699905
2023-11-30 19:49:00.262530000,48.32553002929688,1.5296212434768677,-1.840228080749512,-0.3673632144927978,-0.1578321903944015,-0.0293978676199913,0.1494327932596206
2023-11-30 19:49:00.281131800,48.3441318359375,1.86048686504364,-1.602792739868164,0.0758063793182373,-0.197232961654663,-0.109115719795227,0.1616500914096832
2023-11-30 19:49:00.299733800,48.36273364257813,1.959631085395813,-0.9143714904785156,0.7616238594055176,-0.167300596833229,-0.2086866796016693,0.1042288020253181
2023-11-30 19:49:00.318335700,48.381335693359375,1.9237397909164429,-0.1570110321044922,1.470975399017334,-0.0860555768013,-0.1601229310035705,-0.0173332877457141
2023-11-30 19:49:00.336937700,48.39993774414062,1.9220682382583616,0.0465888977050781,1.684170842170715,-0.0011453714687377,0.0970511436462402,-0.1559995859861374
2023-11-30 19:49:00.355539700,48.41853979492188,1.764045000076294,0.1948204040527343,1.2502381801605225,0.0742964297533035,0.368580549955368,-0.2436586916446685
2023-11-30 19:49:00.374141700,48.4371416015625,1.6143735647201538,0.4652099609375,0.423774242401123,0.128052532672882,0.493196964263916,-0.2910007238388061
2023-11-30 19:49:00.392743700,48.45574365234375,1.406444430351257,0.6801347732543945,-0.4071314334869385,0.1359937787055969,0.3972911834716797,-0.2934441566467285
2023-11-30 19:49:00.411345700,48.474345703125,0.9740232229232788,0.6574153900146484,-1.1710426807403564,0.1164461001753807,0.0759763047099113,-0.2503781914710998
2023-11-30 19:49:00.429947600,48.49294775390625,0.3118758797645569,0.6291542053222656,-1.428213357925415,0.0956766977906227,-0.1882227063179016,-0.2305250912904739
2023-11-30 19:49:00.448549600,48.51154956054688,-0.4601679444313049,0.9649419784545898,-0.7724366188049316,0.0920115038752555,-0.1451567411422729,-0.2742019295692444
2023-11-30 19:49:00.467151600,48.53015161132812,-0.8614676594734192,1.3052034378051758,0.2359321117401123,0.1115591824054718,0.021609341725707,-0.3468948304653168
2023-11-30 19:49:00.485753600,48.54875366210938,-0.7920259833335876,1.7155132293701172,0.9767024517059326,0.1411861181259155,0.2500727772712707,-0.3667479455471039
2023-11-30 19:49:00.504355300,48.56735522460937,-0.5075372457504272,2.183365821838379,1.1413919925689695,0.1622609496116638,0.4339430630207062,-0.3942368626594543
2023-11-30 19:49:00.522957300,48.58595727539063,-0.0842470824718475,2.3073205947875977,1.2745705842971802,0.1674533039331436,0.5161044001579285,-0.4201986193656921
2023-11-30 19:49:00.541559300,48.604559326171874,0.3716192841529846,1.9001798629760744,0.9023936986923218,0.1515708267688751,0.4250855147838592,-0.410119354724884
2023-11-30 19:49:00.560161300,48.62316137695313,0.6448304057121277,1.2608375549316406,0.3277075290679931,0.0944549664855003,0.1856265366077423,-0.3597230017185211
2023-11-30 19:49:00.578763300,48.64176318359375,0.6406596899032593,0.7011690139770508,-0.3803126811981201,0.0012980876490473,-0.0715475380420684,-0.2308305352926254
2023-11-30 19:49:00.597365200,48.660365234375,0.4333894848823547,0.4451074600219726,-1.397752046585083,-0.0878881737589836,-0.2367864549160003,-0.1004109010100364
2023-11-30 19:49:00.615967200,48.67896728515625,0.1876286268234253,0.4317359924316406,-2.0616698265075684,-0.1385899484157562,-0.3412443399429321,-0.0093920463696122
2023-11-30 19:49:00.634569200,48.6975693359375,-0.1580366194248199,0.4994525909423828,-2.3339202404022217,-0.152945265173912,-0.4035525321960449,0.0367282442748546
2023-11-30 19:49:00.653171200,48.716171142578126,-0.651624321937561,0.6976051330566406,-2.2353107929229736,-0.119958572089672,-0.325972706079483,0.067576915025711
2023-11-30 19:49:00.671773200,48.73477319335937,-0.998295783996582,0.8476314544677734,-1.8202528953552248,-0.0582612268626689,-0.0465020798146724,0.09414953738451
